Screenshot Name;Date;Teams;League;Source;URL;Info Shown;Notes;
barca_rma_copadelrey_3_2_117min.png;27/04/2025;FC Barcelona vs Real Madrid;Copa del Rey;ESPN FC;https://www.youtube.com/watch?v=e21U8SNRmr8;"Score; Time; Team Names with Logos";"Scorebug is compact and clear; positioned top-center; clear with the name of teams but does not show the logos.";
rma_fcb_laliga_4_0_91min.png;26/10/2024;FC Barcelona vs Real Madrid;La Liga;La Liga YouTube;https://www.youtube.com/watch?v=AfpItQBKl04;"Score; Time; Extra Time Indicator; League Logos";The form of the scorebug is not in one line like a normal one; but it's clear.
mar_por_fifa_wc_1_0_44min.png;10/12/2022;Morocco vs Portugal;FIFA World Cup;FIFA YouTube;https://www.youtube.com/watch?v=M766FGsv5do;"Score; Timer; Team Flags; Team Names; World Cup logo";The scorebug is normal and clear.;
arg_fra_wcfinal_penalty_2022.png;18/12/2022;Argentina vs France;FIFA World Cup;FOX Sports YouTube;https://www.youtube.com/watch?v=Mxkg3qLIPC8;"Regular Score; Penalty Score; Penalty Indicators; Team Flags; Final Match Context";"The scorebug is normal and clear; it also shows the penalty score clearly.";
dortmund_rma_uclfinal_2024.png;01/06/2024;Borussia Dortmund vs Real Madrid;UEFA Champions League Final;CBS Sports / Paramount+;https://www.youtube.com/watch?v=tldOtltdPXY;"Time; Score; Team Abbreviations; Competition Title";Clear and normal scorebug.;
gabon_mar_cafqualifiers_5_1_90min.png;18/06/2023;Gabon vs Morocco;CAF Africa Cup of Nations Qualifiers;beIN Sports HD;https://www.youtube.com/watch?v=lV-pZDfDeKI;"Score; Time; Added Time; Country Flags; CAF logo";"Red background style with bold contrast; clearly shows +4 added time";
atl_mia_mls_1_1_64min.png;16/03/2024;Atlanta United vs Inter Miami;Major League Soccer (MLS);Apple TV / ESPN FC;https://www.youtube.com/watch?v=FsfFS2n_esQ;"Score; Time; Team Abbreviations";"Minimalist and modern design; lacks logos and expressive elements";
chelsea_liverpool_epl_2_1_85min.png;04/05/2025;Chelsea vs Liverpool;English Premier League (EPL);Premier League / EA Sports;https://www.youtube.com/watch?v=ewCkl1KLMXg;"Score; Time; Team Logos; League Branding";"Great branding and visual hierarchy; very polished and complete layout";
inter_barca_ucl_43min_var.png;06/05/2025;Inter Milan vs Barcelona;UEFA Champions League;CBS Sports / Paramount+;https://www.youtube.com/watch?v=qudvFiKZ6lY;"Score; Time; Aggregate Score; VAR Review Banner";"Excellent detail for high-stakes games; includes context-specific features like VAR";
wac_rca_botola_substitution_1_1.png;12/04/2025;Wydad AC vs Raja Casablanca;Moroccan Botola Pro League;Al Aoula / SNRT;https://www.youtube.com/watch?v=oaDxnmE8juE;"Score; Team Colors; Substitution Banner; Player Info";"Regional design with strong visual substitution cue; lacks game time display";
manutd_newcastle_carabao_stadium_scoreboard;26/02/2023;Manchester United vs Newcastle United;Carabao Cup Final;Wembley Stadium / Alamy;https://www.alamy.com/stock-photo/0-0-scoreboard.html?page=2;"Score; Time; Starting Lineup; Substitutes; Club Logos";"Large stadium scoreboard; shows full line-up and match status; not a typical broadcast scorebug but informative for in-stadium viewers";
benfica_barca_ucl_0_1_90min.png;23/04/2025;Benfica vs FC Barcelona;UEFA Champions League;CBS Sports / Paramount+;https://www.youtube.com/watch?v=CtMEwBeFnrw;"Score; Time; Added Time (+4); Team Abbreviations; Channel Branding";"Minimal and effective scorebug; top-left position; clear added time indicator; simple and focused on essentials";
inter_coppa_italia_yellowcard_70min.png;27/04/2025;Inter Milan vs AC Milan;Coppa Italia;Milan TV;https://www.youtube.com/watch?v=Vape2-zhwmI&t=4905s;"Time; Team Abbreviation; Player Name and Number; Yellow Card Indicator; Player Photo; Event Highlight";"Horizontal layout showing yellow card and player info clearly; well-integrated team and competition branding; elegant but info-heavy design";
real_arsenal_flashscore_postmatch.jpg;30/04/2025;Real Madrid vs Arsenal;UEFA Champions League;Flashscore;https://livesport-ott-images.ssl.cdn.cra.cz/r900xfq60/fe3fa6a4-e2c0-47a2-9cde-8b30456f9326.jpg;"Final score; shots; blocked shots; possession; corners; tackles; offsides; fouls";;
psg_marseille_lequipe_ratings_2023;24/09/2023;Paris Saint-Germain vs Olympique de Marseille;Ligue 1;L'Équipe Newspaper;https://www.soccer-blogger.com/2023/09/25/lequipe-player-ratings-psg-vs-marseille-4-0-september-2023/;"Final score; player ratings; team formations; match statistics; substitutions";;
bayern_leverkusen_instagram_recaps.jpg;28/04/2025;Bayern Munich vs Bayer Leverkusen (last 7 meetings);Bundesliga;365scores Instagram;https://www.instagram.com/p/DAdMWZoxYOc/;"Match scores; team logos; home/away status; visual trend across 7 games";;
